"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000254","CODO RL 45º (33,40x3,38) ASTM A 234 GB WPB PESO 0,08 1"" SCH 40/STD","CODO","RL 45º","un","33.4","3.38","","","","0.08","ASTM A 234 GB WPB"
"A0000253","TEE RED (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 15,20 6x4"" SCH 40x40","TEE RED","","un","168.3","114.3","7.11","6.02","","15.2","ASTM A 234 GB WPB"
"A0000252","CODO RL 45º (273,00x6,35) ASTM A 234 GB WPB PESO 19,50 10"" SCH 20","CODO","RL 45º","un","273","6.35","","","","19.5","ASTM A 234 GB WPB"
"A0000251","CODO RL 45º (168,30x10,97) ASTM A 234 GB WPB PESO 7,94 6"" SCH 80","CODO","RL 45º","un","168.3","10.97","","","","7.94","ASTM A 234 GB WPB"
"A0000250","CODO RL 90º (762,00x12,70) ASTM A 234 GB WPB PESO 365,00 30"" SCH 20","CODO","RL 90º","un","762","12.7","","","","365","ASTM A 234 GB WPB"
"A0000249","BRIDA SERIE 150 (762,00) ASTM A 105 B16.5 PESO 190,00 30""","BRIDA","SERIE 150","un","762","","","","","190","ASTM A 105 B16.5"
"A0000248","CODO RL 180º (48,30x3,68) ASTM A 234 GB WPB PESO 0,73 1 1/2"" SCH 40/STD","CODO","RL 180º","un","48.3","3.68","","","","0.73","ASTM A 234 GB WPB"
"A0000247","CODO RL 180º (60,30x3,91) ASTM A 234 GB WPB PESO 1,46 2"" SCH 40","CODO","RL 180º","un","60.3","3.91","","","","1.46","ASTM A 234 GB WPB"
"A0000246","CODO RL 45º (60,30x8,74) ASTM A 234 GB WPB 2"" SCH 160","CODO","RL 45º","un","60.3","8.74","","","","0","ASTM A 234 GB WPB"
"A0000245","CODO RL 90º (60,30x8,74) ASTM A 234 GB WPB PESO 0,00 2"" SCH 160","CODO","RL 90º","un","60.3","8.74","","","","0","ASTM A 234 GB WPB"
"A0000244","CODO RL 45º (73,00x9,53) ASTM A 234 GB WPB PESO 1,68 2 1/2"" SCH 160","CODO","RL 45º","un","73","9.53","","","","1.68","ASTM A 234 GB WPB"
"A0000243","CODO RL 90º (73,00x9,53) ASTM A 234 GB WPB PESO 2,72 2 1/2"" SCH 160","CODO","RL 90º","un","73","9.53","","","","2.72","ASTM A 234 GB WPB"
"A0000242","CODO RL 90º (73,00x7,01) ASTM A 234 GB WPB PESO 1,72 2 1/2"" SCH 80","CODO","RL 90º","un","73","7.01","","","","1.72","ASTM A 234 GB WPB"
"A0000241","TEE EQUAL (323,80x10,31) ASTM A 234 GB WPB PESO 41,23 12"" SCH 40","TEE EQUAL","","un","323.8","10.31","","","","41.23","ASTM A 234 GB WPB"
"A0000240","CODO RL 90º (355,60x6,35) ASTM A 234 GB WPB PESO 44,08 14"" SCH 10","CODO","RL 90º","un","355.6","6.35","","","","44.08","ASTM A 234 GB WPB"
"A0000239","CODO RL 45º (219,10x6,35) ASTM A 234 GB WPB PESO 8,08 8"" SCH 20","CODO","RL 45º","un","219.1","6.35","","","","8.08","ASTM A 234 GB WPB"
"A0000238","CODO RL 45º (609,60x9,52) ASTM A 234 GB WPB PESO 97,77 24"" SCH 20","CODO","RL 45º","un","609.6","9.52","","","","97.77","ASTM A 234 GB WPB"
"A0000237","CODO RL 45º (457,20x6,35) ASTM A 234 GB WPB PESO 36,88 18"" SCH 10","CODO","RL 45º","un","457.2","6.35","","","","36.88","ASTM A 234 GB WPB"
"A0000236","CODO RL 45º (355,60x6,35) ASTM A 234 GB WPB PESO 22,04 14"" SCH 10","CODO","RL 45º","un","355.6","6.35","","","","22.04","ASTM A 234 GB WPB"
"A0000235","CODO RL 90º (508,00x6,35) ASTM A 234 GB WPB PESO 91,45 20"" SCH 10","CODO","RL 90º","un","508","6.35","","","","91.45","ASTM A 234 GB WPB"
"A0000234","CODO RL 90º (457,20x12,70) ASTM A 234 GB WPB PESO 141,29 18""","CODO","RL 90º","un","457.2","12.7","","","","141.29","ASTM A 234 GB WPB"
"A0000233","CODO RL 90º (323,80x9,52) ASTM A 234 GB WPB PESO 52,85 12""","CODO","RL 90º","un","323.8","9.52","","","","52.85","ASTM A 234 GB WPB"
"A0000232","BRIDA SERIE 150 (609,60) BL RF ASTM A 105 B16.5 PESO 195,04 24""","BRIDA","SERIE 150","un","609.6","","","","BL RF","195.04","ASTM A 105 B16.5"
"A0000231","CODO RL 45º (273,00x9,27) ASTM A 234 GB WPB PESO 18,55 10"" SCH 40","CODO","RL 45º","un","273","9.27","","","","18.55","ASTM A 234 GB WPB"
"A0000230","BRIDA SERIE 300 (323,80x10,31) WN RF ASTM A 105 B16.5 PESO 64,41 12"" SCH 40","BRIDA","SERIE 300","un","323.8","10.31","","","WN RF","64.41","ASTM A 105 B16.5"
"A0000229","BRIDA SERIE 300 (26,70x3,91) SW RF ASTM A 105 B16.5 PESO 1,19 3/4""","BRIDA","SERIE 300","un","26.7","3.91","","","SW RF","1.19","ASTM A 105 B16.5"
"A0000228","BRIDA SERIE 300 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 64,41 12"" SCH 20","BRIDA","SERIE 300","un","323.8","6.35","","","WN RF","64.41","ASTM A 105 B16.5"
"A0000227","BRIDA SERIE 300 (88,90x5,49) SW RF ASTM A 105 B16.5 PESO 5,90 3"" SCH 40","BRIDA","SERIE 300","un","88.9","5.49","","","SW RF","5.9","ASTM A 105 B16.5"
