"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000059","RED CONC (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 0,33 2x1""","RED CONC","","un","60.3","33.4","3.91","3.38","","0.33","ASTM A 234 GB WPB"
"A0000058","TEE EQUAL (323,80x6,35) ASTM A 234 GB WPB PESO 42,00 12"" SCH 20","TEE EQUAL","","un","323.8","6.35","","","","42","ASTM A 234 GB WPB"
"A0000057","TEE EQUAL (273,00x9,27) ASTM A 234 GB WPB PESO 37,00 10"" SCH 40","TEE EQUAL","","un","273","9.27","","","","37","ASTM A 234 GB WPB"
"A0000056","TEE EQUAL (273,00x6,35) ASTM A 234 GB WPB PESO 29,00 10"" SCH 20","TEE EQUAL","","un","273","6.35","","","","29","ASTM A 234 GB WPB"
"A0000055","TEE EQUAL (219,10x8,18) ASTM A 234 GB WPB PESO 23,00 8"" SCH 40","TEE EQUAL","","un","219.1","8.18","","","","23","ASTM A 234 GB WPB"
"A0000054","TEE EQUAL (219,10x6,35) ASTM A 234 GB WPB PESO 19,00 8"" SCH 20","TEE EQUAL","","un","219.1","6.35","","","","19","ASTM A 234 GB WPB"
"A0000053","TEE EQUAL (88,90x5,49) ASTM A 234 GB WPB PESO 2,85 3"" SCH 40","TEE EQUAL","","un","88.9","5.49","","","","2.85","ASTM A 234 GB WPB"
"A0000052","TEE EQUAL (73,00x5,16) ASTM A 234 GB WPB PESO 1,90 2 1/2"" SCH 40","TEE EQUAL","","un","73","5.16","","","","1.9","ASTM A 234 GB WPB"
"A0000051","TEE EQUAL (60,30x3,91) ASTM A 234 GB WPB PESO 0,99 2""","TEE EQUAL","","un","60.3","3.91","","","","0.99","ASTM A 234 GB WPB"
"A0000050","TEE EQUAL (33,40x3,38) ASTM A 234 GB WPB PESO 0,25 1""","TEE EQUAL","","un","33.4","3.38","","","","0.25","ASTM A 234 GB WPB"
"A0000049","CODO RL 45º (219,10x8,18) ASTM A 234 GB WPB PESO 10,57 8"" SCH 40","CODO","RL 45º","un","219.1","8.18","","","","10.57","ASTM A 234 GB WPB"
"A0000048","CODO RL 45º (88,90x7,62) ASTM A 234 GB WPB PESO 1,50 3"" SCH 80","CODO","RL 45º","un","88.9","7.62","","","","1.5","ASTM A 234 GB WPB"
"A0000047","CODO RL 45º (88,90x5,49) ASTM A 234 GB WPB PESO 1,13 3"" SCH 40","CODO","RL 45º","un","88.9","5.49","","","","1.13","ASTM A 234 GB WPB"
"A0000046","CODO RL 45º (60,30x5,54) ASTM A 234 GB WPB PESO 0,54 2"" SCH 80/XS","CODO","RL 45º","un","60.3","5.54","","","","0.54","ASTM A 234 GB WPB"
"A0000045","CODO RL 45º (48,30x3,68) ASTM A 234 GB WPB PESO 0,04 1 1/2""","CODO","RL 45º","un","48.3","3.68","","","","0.04","ASTM A 234 GB WPB"
"A0000044","CODO RL 90º (609,60x9,52) ASTM A 234 GB WPB PESO 211,37 24"" SCH STD","CODO","RL 90º","un","609.6","9.52","","","","211.37","ASTM A 234 GB WPB"
"A0000043","CODO RL 90º (323,80x17,48) ASTM A 234 GB WPB PESO 71,67 12"" SCH 80","CODO","RL 90º","un","323.8","17.48","","","","71.67","ASTM A 234 GB WPB"
"A0000042","CODO RL 90º (168,30x10,97) ASTM A 234 GB WPB PESO 15,60 6"" SCH 80","CODO","RL 90º","un","168.3","10.97","","","","15.6","ASTM A 234 GB WPB"
"A0000041","CODO RL 90º (114,30x8,56) ASTM A 234 GB WPB PESO 5,67 4"" SCH 80","CODO","RL 90º","un","114.3","8.56","","","","5.67","ASTM A 234 GB WPB"
"A0000040","CODO RL 90º (114,30x6,02) ASTM A 234 GB WPB PESO 3,83 4"" SCH 40","CODO","RL 90º","un","114.3","6.02","","","","3.83","ASTM A 234 GB WPB"
"A0000039","CODO RL 90º (101,60x5,74) ASTM A 234 GB WPB PESO 2,99 3 1/2"" SCH 40","CODO","RL 90º","un","101.6","5.74","","","","2.99","ASTM A 234 GB WPB"
"A0000038","CODO RL 90º (26,70x2,87) ASTM A 234 GB WPB PESO 0,08 3/4""","CODO","RL 90º","un","26.7","2.87","","","","0.08","ASTM A 234 GB WPB"
"A0000037","CODO RL 90º (21,30x2,77) ASTM A 234 GB WPB PESO 0,07 1/2""","CODO","RL 90º","un","21.3","2.77","","","","0.07","ASTM A 234 GB WPB"
"A0000036","RED CONC (406,40x323,80x7,92x6,35) ASTM A 234 GB WPB PESO 43,45 16x12"" SCH 20","RED CONC","","un","406.4","323.8","7.92","6.35","","43.45","ASTM A 234 GB WPB"
"A0000035","TEE RED (323,80x273,00x10,31) ASTM A 234 GB WPB PESO 53,10 12x10"" SCH 40","TEE RED","","un","323.8","273","10.31","","","53.1","ASTM A 234 GB WPB"
"A0000034","TEE RED (273,00x219,10x9,27) ASTM A 234 GB WPB PESO 36,40 10x8"" SCH 40","TEE RED","","un","273","219.1","9.27","","","36.4","ASTM A 234 GB WPB"
"A0000033","TEE RED (273,00x114,30x9,27) ASTM A 234 GB WPB PESO 32,20 10x4"" SCH 40","TEE RED","","un","273","114.3","9.27","","","32.2","ASTM A 234 GB WPB"
"A0000032","TEE EQUAL (168,30x7,11) ASTM A 234 GB WPB PESO 5,01 6"" SCH 40","TEE EQUAL","","un","168.3","7.11","","","","5.01","ASTM A 234 GB WPB"
"A0000031","TEE EQUAL (114,30x6,02) ASTM A 234 GB WPB PESO 11,30 4"" SCH 40","TEE EQUAL","","un","114.3","6.02","","","","11.3","ASTM A 234 GB WPB"
"A0000030","RED CONC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,77 8x6"" SCH 40","RED CONC","","un","219.1","168.3","8.18","7.11","","5.77","ASTM A 234 GB WPB"
"A0000029","RED CONC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,36 6x4"" SCH 40","RED CONC","","un","168.3","114.3","7.11","6.02","","3.36","ASTM A 234 GB WPB"
"A0000028","RED CONC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,46 4x3"" SCH 40","RED CONC","","un","114.3","88.9","6.02","5.49","","1.46","ASTM A 234 GB WPB"
"A0000027","CODO RL 90º (762,00x7,92) ASTM A 234 GB WPB PESO 278,00 30"" SCH 10","CODO","RL 90º","un","762","7.92","","","","278","ASTM A 234 GB WPB"
"A0000026","CODO RL 90º (508,00x9,52) ASTM A 234 GB WPB PESO 142,20 20"" SCH STD","CODO","RL 90º","un","508","9.52","","","","142.2","ASTM A 234 GB WPB"
"A0000025","CODO RL 90º (457,20x7,92) ASTM A 234 GB WPB PESO 99,43 18"" SCH 20","CODO","RL 90º","un","457.2","7.92","","","","99.43","ASTM A 234 GB WPB"
"A0000024","CODO RL 90º (406,40x12,70) ASTM A 234 GB WPB PESO 117,93 16"" SCH 40","CODO","RL 90º","un","406.4","12.7","","","","117.93","ASTM A 234 GB WPB"
"A0000023","CODO RL 90º (406,40x7,92) ASTM A 234 GB WPB PESO 78,09 16"" SCH 20","CODO","RL 90º","un","406.4","7.92","","","","78.09","ASTM A 234 GB WPB"
"A0000022","CODO RL 90º (355,60x7,92) ASTM A 234 GB WPB PESO 59,93 14"" SCH 20","CODO","RL 90º","un","355.6","7.92","","","","59.93","ASTM A 234 GB WPB"
"A0000021","CODO RL 90º (323,80x10,31) ASTM A 234 GB WPB PESO 58,15 12"" SCH 40","CODO","RL 90º","un","323.8","10.31","","","","58.15","ASTM A 234 GB WPB"
"A0000020","CODO RL 90º (323,80x6,35) ASTM A 234 GB WPB PESO 37,23 12"" SCH 20","CODO","RL 90º","un","323.8","6.35","","","","37.23","ASTM A 234 GB WPB"
"A0000019","CODO RL 90º (273,00x9,27) ASTM A 234 GB WPB PESO 36,00 10"" SCH 40","CODO","RL 90º","un","273","9.27","","","","36","ASTM A 234 GB WPB"
"A0000018","CODO RL 90º (273,00x6,35) ASTM A 234 GB WPB PESO 25,79 10"" SCH 20","CODO","RL 90º","un","273","6.35","","","","25.79","ASTM A 234 GB WPB"
"A0000017","CODO RL 90º (219,10x8,18) ASTM A 234 GB WPB PESO 20,30 8"" SCH 40","CODO","RL 90º","un","219.1","8.18","","","","20.3","ASTM A 234 GB WPB"
"A0000016","CODO RL 90º (219,10x6,35) ASTM A 234 GB WPB PESO 15,90 8"" SCH 20","CODO","RL 90º","un","219.1","6.35","","","","15.9","ASTM A 234 GB WPB"
"A0000015","CODO RL 45º (168,30x7,11) ASTM A 234 GB WPB PESO 5,06 6"" SCH 40","CODO","RL 45º","un","168.3","7.11","","","","5.06","ASTM A 234 GB WPB"
"A0000014","CODO RL 90º (168,30x7,11) ASTM A 234 GB WPB PESO 10,15 6"" SCH 40","CODO","RL 90º","un","168.3","7.11","","","","10.15","ASTM A 234 GB WPB"
"A0000013","CODO RL 90º (141,30x6,55) ASTM A 234 GB WPB PESO 6,62","CODO","RL 90º","un","141.3","6.55","","","","6.62","ASTM A 234 GB WPB"
"A0000012","CODO RL 45º (114,30x6,02) ASTM A 234 GB WPB PESO 1,92 4"" SCH 40","CODO","RL 45º","un","114.3","6.02","","","","1.92","ASTM A 234 GB WPB"
"A0000011","CODO RL 90º (114,30x6,02) ASTM A 234 GB WPB PESO 3,85 4"" SCH 40","CODO","RL 90º","un","114.3","6.02","","","","3.85","ASTM A 234 GB WPB"
"A0000010","CODO RL 90º (88,90x7,62) ASTM A 234 GB WPB PESO 2,81 3"" SCH 80","CODO","RL 90º","un","88.9","7.62","","","","2.81","ASTM A 234 GB WPB"
"A0000009","CODO RL 90º (88,90x5,49) ASTM A 234 GB WPB PESO 2,03 3"" SCH 40","CODO","RL 90º","un","88.9","5.49","","","","2.03","ASTM A 234 GB WPB"
"A0000008","CODO RL 90º (73,00x5,16) ASTM A 234 GB WPB PESO 1,32 2 1/2"" SCH 40","CODO","RL 90º","un","73","5.16","","","","1.32","ASTM A 234 GB WPB"
"A0000007","CODO RL 90º (60,30x5,54) ASTM A 234 GB WPB PESO 0,90 2""","CODO","RL 90º","un","60.3","5.54","","","","0.9","ASTM A 234 GB WPB"
"A0000006","CODO RL 90º (60,30x3,91) ASTM A 234 GB WPB PESO 0,65 2""","CODO","RL 90º","un","60.3","3.91","","","","0.65","ASTM A 234 GB WPB"
"A0000005","CODO RL 45º (60,30x3,91) ASTM A 234 GB WPB PESO 0,38 2"" SCH 40/STD","CODO","RL 45º","un","60.3","3.91","","","","0.38","ASTM A 234 GB WPB"
"A0000004","CODO RL 90º (48,30x3,68) ASTM A 234 GB WPB PESO 0,37 1 1/2""","CODO","RL 90º","un","48.3","3.68","","","","0.37","ASTM A 234 GB WPB"
"A0000003","CODO RL 90º (42,20x3,56) ASTM A 234 GB WPB PESO 0,25 1 1/4""","CODO","RL 90º","un","42.2","3.56","","","","0.25","ASTM A 234 GB WPB"
"A0000002","CODO RL 90º (33,40x4,55) ASTM A 234 GB WPB PESO 0,19 1""","CODO","RL 90º","un","33.4","4.55","","","","0.19","ASTM A 234 GB WPB"
"A0000001","CODO RL 90º (33,40x3,38) ASTM A 234 GB WPB PESO 0,15 1""","CODO","RL 90º","un","33.4","3.38","","","","0.15","ASTM A 234 GB WPB"
