"Código","Nombre","Díametro Exterior","Espesor Nominal","Largo Mínimo","Largo Máximo","Tipo Costura","Tipo de Acero","Tratamiento Térmico","Norma","Forma","Rubro","Materia prima"
"C0001464","88,90 x 5,49 x CC GºB API 5L TRICAPADO 3"" SCH 40/STD (10500/11800)","88.9","5.49","10500","11800","CC","GºB","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001465","60,30 x 4,90 x SC SAE 1008/1010   ASTM A 106 (6000.00/12000.00)","60.3","4.9","6000","12000","SC","SAE 1008/1010  ","","ASTM A 106","REDONDO","CILINDRO HIDRAULICO",""
"C0001466","60,30 x 3,91 x SC GAL GºB ASTM A 106 2"" SCH 40 (5800/12500)","60.3","3.91","5800","12500","SC","GºB","GAL","ASTM A 106","REDONDO","CONDUCCION","mp"
"C0001467","25,40 x 2,11 x SC SAE 1020 ASTM A 210 Gr C (4303.00/4300.00)","25.4","2.11","4303","4300","SC","SAE 1020","","ASTM A 210 Gr C","REDONDO","PARA TREFILAR",""
"C0001468","50,80 x 3,20 x SC T22 ASTM A 213 (8000.00/9000.00)","50.8","3.2","8000","9000","SC","T22","","ASTM A 213","REDONDO","PARA CALDERAS",""
"C0001469","25,40 x 2,11 x SC SAE 1020 ASTM A 210 Gr C (4300.00/4303.00)","25.4","2.11","4300","4303","SC","SAE 1020","","ASTM A 210 Gr C","REDONDO","PARA CALDERAS",""
"C0001470","25,40 x 2,11 x SC SAE 1010 ASTM A 179 (4300.00/4303.00)","25.4","2.11","4300","4303","SC","SAE 1010","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001471","106,00 x 7,50 x SC SAE 1020 SAE 1020 (8000.00/9000.00)","106","7.5","8000","9000","SC","SAE 1020","","SAE 1020","REDONDO","ESTRUCTURAL",""
"C0001472","87,00 x 6,00 x SC SAE 1020 SAE 1020 (7000.00/80000.00)","87","6","7000","80000","SC","SAE 1020","","SAE 1020","RECTANGULAR","ESTRUCTURAL",""
"C0001473","35,00 x 2,00 x SC SAE 1020 SAE 1020 (8000.00/10000.00)","35","2","8000","10000","SC","SAE 1020","","SAE 1020","REDONDO","GNC",""
