"Lista de precios","Producto","UOM","Proveedor","Precio"
"COMPRA","TEE EQUAL (114,30x6,02) ASTM A 234 GB WPB PESO 11,30 4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED EXC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 40","UNIDAD","","8.56"
"REVENDEDOR","RED EXC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 40","UNIDAD","","8.56"
"COMPRA","RED EXC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","4.23"
"VENTA","RED EXC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","","76.17"
"REVENDEDOR","RED EXC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","","76.17"
"COMPRA","RED EXC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","29.16"
"VENTA","RED EXC (273,00x168,30x9,27x7,11) ASTM A 234 GB WPB PESO 9,38 10x6"" SCH 40","UNIDAD","","82.27"
"REVENDEDOR","RED EXC (273,00x168,30x9,27x7,11) ASTM A 234 GB WPB PESO 9,38 10x6"" SCH 40","UNIDAD","","82.27"
"COMPRA","RED EXC (273,00x168,30x9,27x7,11) ASTM A 234 GB WPB PESO 9,38 10x6"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","31.90"
"VENTA","RED EXC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,70 8x6"" SCH 40","UNIDAD","","49.38"
"REVENDEDOR","RED EXC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,70 8x6"" SCH 40","UNIDAD","","49.38"
"COMPRA","RED EXC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,70 8x6"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","19.13"
"VENTA","RED EXC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 5,50 8x4"" SCH 40","UNIDAD","","61.51"
"REVENDEDOR","RED EXC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 5,50 8x4"" SCH 40","UNIDAD","","61.51"
"COMPRA","RED EXC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 5,50 8x4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","28.32"
"VENTA","RED EXC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,30 6x3"" SCH 40","UNIDAD","","30.53"
"REVENDEDOR","RED EXC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,30 6x3"" SCH 40","UNIDAD","","30.53"
"COMPRA","RED EXC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,30 6x3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED EXC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,35 6x4"" SCH 40","UNIDAD","","27.88"
"REVENDEDOR","RED EXC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,35 6x4"" SCH 40","UNIDAD","","27.88"
"COMPRA","RED EXC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,35 6x4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","14.16"
"VENTA","RED EXC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,45 4x3"" SCH 40","UNIDAD","","12.09"
"REVENDEDOR","RED EXC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,45 4x3"" SCH 40","UNIDAD","","12.09"
